,Reviews,Bank
53,Third Card Service we never recommend to my friends family and other. ridiculous Service continuously calling me for Payment follow which already Paid Around 70 to 100 Times getting calls from Different different Number its too much irritating I went to RBL bank Executive telling me you can call Customer care department why this people seating and bank again went to BAJAJ Finserv that People also telling me Customer care department I wanted to know why this people seating offices and why issueing Credit card the people if you are not getting help the Person but at the time of Payment follow up is on time seriously harassing to the Customer i don't know how the calculated Statement i am against with this Please don't take Credit card,RBL-Bank-Fun-Credit-Card
54,I am very disappointed. I called to inquire but no one answered after two days. The service was very poor.,Standard-Chartered-Visa-Credit-Card
55,"Not only that, but every time I called the hotline, the service hotline asked me to wait. Finally, they rudely ignored my calls and turned off my phone.",Standard-Chartered-Visa-Credit-Card
56,I never defaulted my payments from past 3 years but thanks to sc I made my first default payment. Since I was on autopay but you cannot rely on a fraudulent company such as sc mobile. Now i have late fee charge.,Standard-Chartered-Visa-Credit-Card
57,Not only this i have taken EMI of 3999 but I am paying 1400 emi for 6 months. The reason? Because SC credited and debited and credited from and to my account thousands of times.,Standard-Chartered-Visa-Credit-Card
58,I have been on phone for hours and hours but every single employee wants to sell me loan. On top of this I get 10-20 calls for credit card which I already have.,Standard-Chartered-Visa-Credit-Card
59,Dont open accounts with them.,Standard-Chartered-Visa-Credit-Card
60,Don't get their credit cards,Standard-Chartered-Visa-Credit-Card
61,Don't receive their calls (Install true caller and block all of their numbers even if you dont have anything to do with them.,Standard-Chartered-Visa-Credit-Card
62,"I had the worst experience with Standard Chartered Bank Credit card. They charge Annual fee, late fee, fine Charges on late fee, GST 18%, SGST 18% and Interest etc, Rs.50/- default, you have to pay Rs 1200/- for 2 days. Worst bank and worst service.",Standard-Chartered-Visa-Credit-Card
63,"I have never seen such MC customer service, 7 people said I am eligible for one plus ear buds but now these mf said no sir you are not eligible..",Standard-Chartered-Visa-Credit-Card
64,"Pathetic CS, mails are not answered within 10 days",Standard-Chartered-Visa-Credit-Card
65,"On April 19th, I wrote an email to my account manager for credit card upgrade possibilities, and after all follow-ups, he never responded.",Standard-Chartered-Visa-Credit-Card
66,I wrote to the nodal team on April 25th.,Standard-Chartered-Visa-Credit-Card
67,"On April 27th, as usual, they gave some copy-paste wrong replies, and the same day I again responded to them with my concern.",Standard-Chartered-Visa-Credit-Card
68,"On May 3rd, I received a revert from their side saying that they wanted 4 working days to revert.",Standard-Chartered-Visa-Credit-Card
69,"Overall, 15 days have passed, and they are not able to revert as to why their account manager has not responded to my queries.",Standard-Chartered-Visa-Credit-Card
70,So what else can we expect from this type of poor bank?,Standard-Chartered-Visa-Credit-Card
71,My opinion in this case is that don't fall for big names; go and use the services of banks in your local area.,Standard-Chartered-Visa-Credit-Card
72,Used to be my favorite card for a long time but standards have stooped to incredible lows with a series of bad experiences.,Standard-Chartered-Visa-Credit-Card
73,Had taken a loan.. Was trying to Pre pay. Customer care kept giving me different amounts each time I called to check status. Online service not reflecting the exact status. Amount payed into loan account transfered into credit card account without concent.. Finally closed the chapter after a week or so.,Standard-Chartered-Visa-Credit-Card
74,Customer care called saying my card was being misused and hence sending me a new card. It's 3 days but still not recived. ( That's fine.. I can wait a bit). Tried to access my outstanding details online. The details of the transaction with old card was just missing!,Standard-Chartered-Visa-Credit-Card
75,It's unbelievable that a bank like SCB is far less equipped than a Medium Sized Indian Bank.. They seriously need to relook at what they are doing!!!!,Standard-Chartered-Visa-Credit-Card
76,One of the worst credit card and bank too. They will not keep there words lot of false promises. I think in India we have to close this bank. Cheaters  also we can say Fraud . They said first year no need to pay any fees and they deducted those fee and also late fees. Bloody frauds. I mailed them and they are saying that you have to pay or show some proofs. I said the person who contacted me for CC is from your bank and it will be recorded check it. They are not doing it. I called that person he is not picking up the call. This customer care are an irritating idiot persons they are not understanding anything. Don't buy credit card or keep any transaction with this bank I will give -10 rating for this bank. No use. Money minded bank.. Other bank atleast provide some offers or some facility. One of the worst bank .,Standard-Chartered-Visa-Credit-Card
77,"I had put up to deliver the re-issued card request(KMM41691256V28625L0KM) to Pune branch on 31st Dec, 22. It had more than 55 working days and to my surprise the card is successfully delivered to Bangalore. There is no proper response over the email or by agent. They were keep on requesting me to have patience and will get back to me at earliest. Finally shut the acouunt with them.",Standard-Chartered-Visa-Credit-Card
78,There is failure in security system of credit card.,Standard-Chartered-Visa-Credit-Card
79,I got fraudulent case by fraud. This was happened due to poor security system in Scb card.,Standard-Chartered-Visa-Credit-Card
80,"Even after lodging FIR and sending FIR copy to scb customer care, NO use.",Standard-Chartered-Visa-Credit-Card
81,"After few days scb raised the bill around 20000, I sent mail also why u raised the bill? No response and didn't bother. 2nd month they send the bill will late fee included GST etc many charges.",Standard-Chartered-Visa-Credit-Card
82,It became 22394Rs.,Standard-Chartered-Visa-Credit-Card
83,I sent mail many times but no ans.,Standard-Chartered-Visa-Credit-Card
84,At last I paid outstanding amt22394.,Standard-Chartered-Visa-Credit-Card
85,"Even after paying all amount, they raised one more bill 256 saying it's GST charges.",Standard-Chartered-Visa-Credit-Card
86,"When I called customer care, she said it's late fee charges. But now they started charging on daily basis. After 3 days bill became 366.",Standard-Chartered-Visa-Credit-Card
87,I hate this credit card.,Standard-Chartered-Visa-Credit-Card
88,I want to abuse but don't know to whom....,Standard-Chartered-Visa-Credit-Card
89,Pl don't take this thief card.,Standard-Chartered-Visa-Credit-Card
90,Gave torture tooooooo much. Just blast them if any body ask to take scb credit card...,Standard-Chartered-Visa-Credit-Card
91,Standard chartered bank credit card is worst credit card. No customer care. Hidden charges without your consent. They fool customers by adding interest or other fee and u cannot are helpless as there is complaint portal or customer care,Standard-Chartered-Visa-Credit-Card
92,"The worst credit card I can say and also the worst customer service. Please don't use this credit card instead of this go with some other cards like Axis, HDFC, ICICI but say no to standard chartered credit card.",Standard-Chartered-Visa-Credit-Card
93,They are looting people with extra charges. Even when you pay the bill next month new charges will be added,Standard-Chartered-Visa-Credit-Card
94,Worst customer service ever,Standard-Chartered-Visa-Credit-Card
95,"No feature to convert usage to emi, worst customer service.",Standard-Chartered-Visa-Credit-Card
96,Customer service is worst and they talk like road side chaps,Standard-Chartered-Visa-Credit-Card
97,"My Painful Journey with Standard Chartered Credit Card, I have started my journey with Standard Chartered Credit Card from Dec-2013 & stopped using it on Jun-2017 due to non-customer friendly Standard Chartered service & requested to close my card on Jun 2017.During the period of usage my usage was Rs.8, 25, 785.23/-, with Zero Delay Payments.",Standard-Chartered-Visa-Credit-Card
98,In Jun 2017 one refund negotition of Rs.1057/- failed between me and standard chartered. I mentioned to claim the current available redemption cash back of Rs.446.86 and points 846 which will come to more valuation and asked to close my card immediately.,Standard-Chartered-Visa-Credit-Card
99,"Now we are in Dec-2021,",Standard-Chartered-Visa-Credit-Card
100,"My home loan got rejected stating your payment history not fair, When I checked the CIBIL I surprised to see that Standard Chartered is still marking Days Pass Due as 150 days every month till by Dec-2021 which I requested for closure on Jun 2017. I reached out Standard Chartered customer care and they responded if you waste time talking to us your CIBIL will be effected more. Go ahead and pay the amount what ever it is showing. Then to get rid of this harassments I went and paid Rs.9424.37/- which they have asked even through no mistake from my side.",Standard-Chartered-Visa-Credit-Card
101,"After paying the amount they demanded, I requested for proper CIBIL updates as there is no mistake from myside to update all the fields as it was not the default category. But it's been 60+ days the CIBIL updates are not resolved yet DPD fields are not updated.",Standard-Chartered-Visa-Credit-Card
102,"I just requested for closure as I didn't satisfied with service, I maintained clean chit during my complete usage period Dec-2013 to Jun-2017 with ZERO due transactions. They not even tried discussing with me what was the issue by considering the fair credit history of the customer.  They shared my PAN and other personal details with third party for recovery of Rs.1057/-.They don't even have maintained parameters like if it really default case based on transaction histroy and the due amount.",Standard-Chartered-Visa-Credit-Card
103,"Other flaws performed by Standard Chartered Bank against RBI regulations, Even if we consider something like as due pending, As per RBI regulation POST 8 months of In-Active status of account no future interest charges can be applied & Day Past Due cases is not applicable. But miss-using the leaks of CIBIL the third party which Standard Chartered  handover, updating Days Past Due field for the In-Active card. For the card which is In-Active from Jun-2016 how ""Days Past Due"" is valid by Dec -2021? i.e. 5 years of In-Active status. As per RBI regulations before marking the card as defaulter it should make sure customer aware of it. That is notifying the customer & have acknowledgement from customer on the same. I haven't aware that my card is marked as defaulter. As per RBI regulations, Customer Care Service should be placed by trained persons. But I have struggled a lot explaining them every-time. Customer Service interaction have zero knowledge on CIBIL, responding like ""CIBIL will be updated by CIBIL team not by us. Please check with CIBIL"".""DPD field won't impact CREDIT worthiness"". It was a disrespect of the customer time. They not considering the severity of the damage of customer and how severe it is impacting them personally. No proper escalation points maintained. To full-fill RBI regulations they maintained different mailId's like Customer Head, Customer Care, Principal Nodal officer but everything is handling by same person what I came to know after my interaction with them. Making defaulter in CIBIL is serious effect individually to the customer for his financial transactions. So Bank should take the at most.",Standard-Chartered-Visa-Credit-Card
104,"step before making it as defaulter by checking various parameters manually to check whether it is valid case. Fair customer should not be effected on the same.I have zero history of due payments through out my usage,  If they taken that minimum step then I should have not been in this situation.",Standard-Chartered-Visa-Credit-Card
105,"Any card can just provide the credit services, but customer experience & fair items can be performed only by proper brand companies. Here al together just a valuation of rupees may be Rs.100 after 8.5 Lakh transactions they screwed my life time CIBIL. I felt pitty myself as a customer of Standard Chartered.",Standard-Chartered-Visa-Credit-Card
106,"A common citizen will always run away from the un-fair processes slowly, they will never fight as their time itself there survival point to do their job and survival their family. But that un-fair processes itself will kill the system slowly & by the time system receive that feedback organically everything will be out of hand. But I didn't sense the customer experience will matter so much. where I personally landed myself into financial criticality on avoiding that basic customer experience choice. we will get ear pods for Rs.50 as well, but once we lost ear then we will come to know the value of brand.",Standard-Chartered-Visa-Credit-Card
107,I recommend corporate employee's don't take a life time financial risk of choosing Standard Chartered as they don't do anything for customers.,Standard-Chartered-Visa-Credit-Card
108,Standard Charter Credit Card is one one of the worse services provider in FinTech .,Standard-Chartered-Visa-Credit-Card
109,"They have confirmed, full payment received and got updated ZERO due statement from SC department.",Standard-Chartered-Visa-Credit-Card
110,Started asking for repay even payment made,Standard-Chartered-Visa-Credit-Card
111,Find uploaded documents for all evidences,Standard-Chartered-Visa-Credit-Card
112,"I am the unfortunate owner of Standard Charterd manhatten platinum credit card, I would just like to say that as a fellow human being I would STRONGLY SUGGEST YOU TO STAY AWAY FROM and standard charterd products be it credit card loans etc, You life will become a living hell filled with stress, Because this dirty bank will try all the dirty tricks to extract maximum money out of you including hidden charges extra EMI additional benifits which are charged and you never knew about",Standard-Chartered-Visa-Credit-Card
113,PLEASE PLEASE PLEASE NEVER TAKE ANY STANDARD CHARTERD CREDIT CARD.,Standard-Chartered-Visa-Credit-Card
114,"I cancelled the credit card by paying all the dues and all fake charges, and yet the have not even cancelled my credit card after 0 balance and giving 2 request to custome care are 3 times in writing.JUST STAY AWAY FROM THIS FRAUD BANK CALLED STANDARD CHARTER.IT SHOULD BE CALLED STANDARD BAST@&D BANK",Standard-Chartered-Visa-Credit-Card
115,NEGATIVE STAR,Standard-Chartered-Visa-Credit-Card
116,"I followed up with the customer service for almost 1 year for cancellation of the credit card service, after multiple follow ups they confirmed on mail that the service is cancelled and to my surprise i received the bill to pay annual fees, had to follow up for reversal of the fees. Got a confirmation saying the fees is reversed. Now a new surprise, got a sms that a recovery agent would call me for collection of the fees... Now i am following up to close this issue... I am really saddened and surprised by the shameful service and there is no one to check on all these providers",Standard-Chartered-Visa-Credit-Card
117,"You should think before taking there card, customer care can only be reached if you have something pending that too they will call to tell you how much you have to pay nothing more.",Standard-Chartered-Visa-Credit-Card
118,And they email of customer care do not give any response what so ever.,Standard-Chartered-Visa-Credit-Card
119,"If you living in india just do not take this card no branches almost, crapy customer service online results to no customer issue resolution.",Standard-Chartered-Visa-Credit-Card
120,Customer care service is really poor and pathetic they never attend a call. Waiting time more than 1 hour. You can not contact with their customer care no.,Standard-Chartered-Visa-Credit-Card
121,"SC bank guys are looting people's money. even if you pay the credit card bill, you always ended up paying some or the other hidden charges. you need to call customer care multiple times for solving you problem.",Standard-Chartered-Visa-Credit-Card
122,Finally I frustrated and called customer care to cancel the card by paying outstanding amount but card has not been cancelled and I am keep getting message saying I need to pay blah blah amount.,Standard-Chartered-Visa-Credit-Card
123,fukg waste of time and money if you take standard chattered credit card. I will make sure that none of my friends and know guys take this card. they looted my money basrds,Standard-Chartered-Visa-Credit-Card
124,I have been reaching citi credit card customer care almost 6 months now but unable to reach them. I have been emailing them since really long time horrible experience and the issue is not been resolved yet.,Citibank-Visa-Credit-Card
125,pathetic is the word to describe this bank. really frustrated with there service.,Citibank-Visa-Credit-Card
126,We are missing the original ciribank service now. After the Indian wing was taken over by AXIS Bank the service has gone to D O G S,Citibank-Visa-Credit-Card
127,Better to look for other credit card companies. Anytime you call to speak to the customer service the holding time is MORE THAN 15 MINUTES!    Can we afford to hold on for 15 Minutes every time?,Citibank-Visa-Credit-Card
128,A Credit Card was issued in my name by CITIBANK which I never applied for.,Citibank-Visa-Credit-Card
129,"When asked for the details for my application, they never turned back, in fact charged me for non using for the minimum amount/yearly charges.",Citibank-Visa-Credit-Card
130,"Dropped as many as 25 emails, over 25 calls with the customer representative raising the issue, but didn't receive any justifiable or satisfactory answers.",Citibank-Visa-Credit-Card
131,With no other options left and as the amount of small I had to pay to CITIBANK the money I didn't used or utilised.,Citibank-Visa-Credit-Card
132,Fraud Bank / Pathetic Customer Support Service,Citibank-Visa-Credit-Card
133,"Three separate occasions My charges were denied and had to use another credit card to pay for product.  When called to find out the reason my charger were denied, I got a reply that my credit was in good standing that they did not deny that charge.  The first time I accepted their explanation; but when I was denied two more times for no reason.  I pulled that card from my wallet and started using another credit card and my troubles ended.",Citibank-Visa-Credit-Card
134,Never trust Citi. I was a consumer for past 4 years. My card got expired and new card  was sent to old address.,Citibank-Visa-Credit-Card
135,Issue1] To get my new card I tried to change address in their online site but received system errors continuously,Citibank-Visa-Credit-Card
136,Issue2] Now due amount was reflecting in new card and I did not had new card number so I could not pay amount.,Citibank-Visa-Credit-Card
137,Due to this they kept on charging interest and penalty for their mistake.,Citibank-Visa-Credit-Card
138,When I contacted call center the representative was very rude and unhelpful.,Citibank-Visa-Credit-Card
139,After making me go through such hassles he had the guts to ask me If he can send me the new card.,Citibank-Visa-Credit-Card
140,Worst service,Citibank-Visa-Credit-Card
141,"One of the worst credit card bank..very high rate of interest.. they will robber common people.. in one and half year I purchased goods of rs 88000 and every month I used pay 4000 or 5000.. totally I paid 42000 interest for 88000.. I not seen any bank giving such huge interest.. they put charges for 18%gst, interest rate 42% annual, late fees etc etc... I suggest don't go such bank otherwise u will robber. Beginning they will give free card but do this to u...",Citibank-Visa-Credit-Card
142,I m trying to call  credit card customer care 20 minits . no one to response my call. when I connect my call to customer care they will contact my cal to mein menu . I am no satisfied with citi customer care. very bad experience .,Citibank-Visa-Credit-Card
143,I am using credit card of citi bank card no.,Citibank-Visa-Credit-Card
144,4386280034843353 on 20-nov-2019 and 21-nov-2019. 15transaction was done on this card by some other source in Other country Currency I want to resolve this query immediately. Kindly do work on complaint and refund my amount as soon as possible.,Citibank-Visa-Credit-Card
145,This to inform there was 15(fifteen) online transaction done with out my knowledge from my credit card. My credit card details,Citibank-Visa-Credit-Card
146,Credit card - 4386280034843353,Citibank-Visa-Credit-Card
147,Name- jamshed Mohammad,Citibank-Visa-Credit-Card
148,Amount -80779.67 ( 15 transaction in other country Currency ),Citibank-Visa-Credit-Card
149,1)225.94 - CAN -20 NOV19 -21:35PM,Citibank-Visa-Credit-Card
150,2)2.09 - AUD - 21 NOV 19- 04:52PM,Citibank-Visa-Credit-Card
151,3) 169.00 - USD -21 NOV 19- 04:52PM,Citibank-Visa-Credit-Card
152,4) 1.00 -EURO-21 NOV 19-04:52PM,Citibank-Visa-Credit-Card
153,5) 1.75 -BRL -21 NOV 19-04:52PM,Citibank-Visa-Credit-Card
154,6)129.95 -EURO- 21 NOV 19 -04:52 PM,Citibank-Visa-Credit-Card
155,7)-50.00- SEK - 21 NOV 19 -04:52PM,Citibank-Visa-Credit-Card
156,8) 0.08 - USD- 21 NOV 19- 04:52 PM,Citibank-Visa-Credit-Card
157,9) 53 -SEK. - 21 NOV 19 - 04:52PM,Citibank-Visa-Credit-Card
158,10) 1.00 - EURO - 21 NOV 19 -04:52 PM,Citibank-Visa-Credit-Card
159,11) 288- USD. - 21 NOV 19- 04:52PM,Citibank-Visa-Credit-Card
160,12) 169 - USD-21 NOV 19-04:52PM,Citibank-Visa-Credit-Card
161,13)119-USD -21 NOV 19-04:52PM,Citibank-Visa-Credit-Card
162,14)50- USD-21 NOV 19-04:52PM,Citibank-Visa-Credit-Card
163,15) 16 - SEK- 21 NOV 19-04:52PM,Citibank-Visa-Credit-Card
164,Time- 14 transaction same time 04:52pm on 21-11-2019 and,Citibank-Visa-Credit-Card
165,Time - 1 transaction -9:35pm on 20-11-2019.,Citibank-Visa-Credit-Card
166,Request to thoroughly investigate these 15 transaction in foreign currency of amount (INR 80779.67) return to my credit card account.,Citibank-Visa-Credit-Card
167,Thanks,Citibank-Visa-Credit-Card
168,Regard:-,Citibank-Visa-Credit-Card
169,Jamshed Mohammad,Citibank-Visa-Credit-Card
170,"Mob - 8920679552, 9560501938",Citibank-Visa-Credit-Card
171,"They ask you to refer for which they will give reward points. I referred my friend and his application was rejected and next day received a new application to get their card there by cutting my rewards. I am not much concerned about the reward points but audacity to do it openly. They are crooks, better be safe as they can so openly play this scam, God knows what else they can do.",Citibank-Visa-Credit-Card
172,I used Citi bank rewards card for almost 8 years and in May2019 my card was used for fraudulent transaction in multiple currency USD GBP and PAK Ruppies. I immedetly called the Citi bank care and blocked the card and they said the merchant has not billed the transactions and they will take care of this.,Citibank-Visa-Credit-Card
173,"After two months a new card was reissued and I did not use this card for any online purchase , but the new card also was used for fraudulent transaction, I had to again block my card.",Citibank-Visa-Credit-Card
174,"Now Citi Bank send me the September month statement and I was shocked to see one disputed transaction amounting to 9683 of may month was included , when I called the",Citibank-Visa-Credit-Card
175,care they say this is automatically picked as they did not get the amount from the vendor but then I logged into my account and checked the status of my disputed transaction and was shocked to see that closed Merchant refunded.,Citibank-Visa-Credit-Card
176,This raises suspicion whether the employees of CITI bank are involved in this fraudulent transactions and complete lapse of IT security,Citibank-Visa-Credit-Card
177,Please stay away from CITI bank credit card.,Citibank-Visa-Credit-Card
178,"Dear Citi Bank,",Citibank-Visa-Credit-Card
179,"You are charging the interest with GST 11060 for 6 days delay payments of 80, 000/-",Citibank-Visa-Credit-Card
180,You are doing the interest collection better than Marvodi.,Citibank-Visa-Credit-Card
181,I will not recommend anyone about your service and charges.,Citibank-Visa-Credit-Card
182,Regards,Citibank-Visa-Credit-Card
183,Arockiasamy,Citibank-Visa-Credit-Card
184,9590965855,Citibank-Visa-Credit-Card
185,"My card was used for fraudulent purchases. Two months, letters, and 6 hours on the phone with more representatives than I can count with an uncertain resolution at this time. Nobody seems to care to resolve the problem. As a victim, I feel as if the company treats me as a criminal. I am very disappointed!",Citibank-Visa-Credit-Card
186,Card issued with inappropriate information,Citibank-Visa-Credit-Card
187,Card not discontinued after having instruction,Citibank-Visa-Credit-Card
188,Card Annual Charge deducted of a surrendered card,Citibank-Visa-Credit-Card
189,Head of Customer Care don't respond when you point out their fault,Citibank-Visa-Credit-Card
190,Cannot talk to Customer Care Executive easily,Citibank-Visa-Credit-Card
